Module	Section	Sample Name	Source
FastQC	all_sections	GFP-2_R2_001	/beegfs/scratch/ric.broccoli/kubacki.michal/Azenta/results/fastqc/GFP-2_R2_001_fastqc.zip
FastQC	all_sections	GFP-2_R1_001	/beegfs/scratch/ric.broccoli/kubacki.michal/Azenta/results/fastqc/GFP-2_R1_001_fastqc.zip
FastQC	all_sections	BG1_R2_001	/beegfs/scratch/ric.broccoli/kubacki.michal/Azenta/results/fastqc/BG1_R2_001_fastqc.zip
FastQC	all_sections	BM1_R2_001	/beegfs/scratch/ric.broccoli/kubacki.michal/Azenta/results/fastqc/BM1_R2_001_fastqc.zip
FastQC	all_sections	GFP-3_R2_001	/beegfs/scratch/ric.broccoli/kubacki.michal/Azenta/results/fastqc/GFP-3_R2_001_fastqc.zip
FastQC	all_sections	BG2_R1_001	/beegfs/scratch/ric.broccoli/kubacki.michal/Azenta/results/fastqc/BG2_R1_001_fastqc.zip
FastQC	all_sections	GFP-1_R2_001	/beegfs/scratch/ric.broccoli/kubacki.michal/Azenta/results/fastqc/GFP-1_R2_001_fastqc.zip
FastQC	all_sections	GFP-3_R1_001	/beegfs/scratch/ric.broccoli/kubacki.michal/Azenta/results/fastqc/GFP-3_R1_001_fastqc.zip
FastQC	all_sections	BM3_R2_001	/beegfs/scratch/ric.broccoli/kubacki.michal/Azenta/results/fastqc/BM3_R2_001_fastqc.zip
FastQC	all_sections	BG3_R1_001	/beegfs/scratch/ric.broccoli/kubacki.michal/Azenta/results/fastqc/BG3_R1_001_fastqc.zip
FastQC	all_sections	BM2_R2_001	/beegfs/scratch/ric.broccoli/kubacki.michal/Azenta/results/fastqc/BM2_R2_001_fastqc.zip
FastQC	all_sections	YAF-1_R1_001	/beegfs/scratch/ric.broccoli/kubacki.michal/Azenta/results/fastqc/YAF-1_R1_001_fastqc.zip
FastQC	all_sections	YAF-2_R1_001	/beegfs/scratch/ric.broccoli/kubacki.michal/Azenta/results/fastqc/YAF-2_R1_001_fastqc.zip
FastQC	all_sections	BG1_R1_001	/beegfs/scratch/ric.broccoli/kubacki.michal/Azenta/results/fastqc/BG1_R1_001_fastqc.zip
FastQC	all_sections	YAF-3_R1_001	/beegfs/scratch/ric.broccoli/kubacki.michal/Azenta/results/fastqc/YAF-3_R1_001_fastqc.zip
FastQC	all_sections	BG3_R2_001	/beegfs/scratch/ric.broccoli/kubacki.michal/Azenta/results/fastqc/BG3_R2_001_fastqc.zip
FastQC	all_sections	BM1_R1_001	/beegfs/scratch/ric.broccoli/kubacki.michal/Azenta/results/fastqc/BM1_R1_001_fastqc.zip
FastQC	all_sections	BG2_R2_001	/beegfs/scratch/ric.broccoli/kubacki.michal/Azenta/results/fastqc/BG2_R2_001_fastqc.zip
FastQC	all_sections	GFP-1_R1_001	/beegfs/scratch/ric.broccoli/kubacki.michal/Azenta/results/fastqc/GFP-1_R1_001_fastqc.zip
FastQC	all_sections	BM3_R1_001	/beegfs/scratch/ric.broccoli/kubacki.michal/Azenta/results/fastqc/BM3_R1_001_fastqc.zip
FastQC	all_sections	YAF-3_R2_001	/beegfs/scratch/ric.broccoli/kubacki.michal/Azenta/results/fastqc/YAF-3_R2_001_fastqc.zip
FastQC	all_sections	BM2_R1_001	/beegfs/scratch/ric.broccoli/kubacki.michal/Azenta/results/fastqc/BM2_R1_001_fastqc.zip
FastQC	all_sections	YAF-1_R2_001	/beegfs/scratch/ric.broccoli/kubacki.michal/Azenta/results/fastqc/YAF-1_R2_001_fastqc.zip
FastQC	all_sections	YAF-2_R2_001	/beegfs/scratch/ric.broccoli/kubacki.michal/Azenta/results/fastqc/YAF-2_R2_001_fastqc.zip
