Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
BG1_R1_001	92.11187114008376	51.0	150.0	150	27.27272727272727	367.788982
BG1_R2_001	94.42390070996794	51.0	150.0	150	36.36363636363637	367.788982
BG2_R1_001	90.86860862866706	52.0	150.0	150	27.27272727272727	481.768202
BG2_R2_001	93.16156351921236	52.0	150.0	150	36.36363636363637	481.768202
BG3_R1_001	88.54553337281365	51.0	150.0	150	27.27272727272727	275.225464
BG3_R2_001	90.89355882424637	51.0	150.0	150	36.36363636363637	275.225464
BM1_R1_001	80.90101477982813	51.0	150.0	150	36.36363636363637	0.627751
BM1_R2_001	79.79250006526358	54.0	150.0	150	54.54545454545454	0.627751
BM2_R1_001	73.52654332175362	50.0	150.0	150	27.27272727272727	0.536428
BM2_R2_001	72.17022138071229	60.0	150.0	150	54.54545454545454	0.536428
BM3_R1_001	95.04736140188422	53.0	150.0	150	27.27272727272727	28.416738
BM3_R2_001	94.91500209054536	53.0	150.0	150	54.54545454545454	28.416738
GFP-1_R1_001	51.567427975661666	53.0	150.0	150	36.36363636363637	85.886392
GFP-1_R2_001	60.844329874212235	53.0	150.0	150	36.36363636363637	85.886392
GFP-2_R1_001	66.94296577161879	48.0	150.0	150	36.36363636363637	90.868183
GFP-2_R2_001	78.02569737874629	48.0	150.0	150	36.36363636363637	90.868183
GFP-3_R1_001	51.73709484793831	54.0	150.0	150	36.36363636363637	76.072069
GFP-3_R2_001	57.1393655776717	53.0	150.0	150	36.36363636363637	76.072069
YAF-1_R1_001	71.70919831468211	45.0	150.0	150	36.36363636363637	90.582312
YAF-1_R2_001	84.01134454950096	45.0	150.0	150	36.36363636363637	90.582312
YAF-2_R1_001	44.40474196053825	55.0	150.0	150	36.36363636363637	132.932421
YAF-2_R2_001	47.68392585103032	54.0	150.0	150	36.36363636363637	132.932421
YAF-3_R1_001	47.50986809259179	51.0	150.0	150	27.27272727272727	94.268086
YAF-3_R2_001	54.05300529487239	50.0	150.0	150	36.36363636363637	94.268086
