Sample	Unique Reads	Duplicate Reads
BG1_R1_001	29011669.0	338777313.0
BG1_R2_001	20508279.0	347280703.0
BG2_R1_001	43992141.0	437776061.0
BG2_R2_001	32945413.0	448822789.0
BG3_R1_001	31525609.0	243699855.0
BG3_R2_001	25063245.0	250162219.0
BM1_R1_001	119895.0	507856.0
BM1_R2_001	126853.0	500898.0
BM2_R1_001	142012.0	394416.0
BM2_R2_001	149287.0	387141.0
BM3_R1_001	1407379.0	27009359.0
BM3_R2_001	1444991.0	26971747.0
GFP-1_R1_001	41596989.0	44289403.0
GFP-1_R2_001	33629393.0	52256999.0
GFP-2_R1_001	30038327.0	60829856.0
GFP-2_R2_001	19967650.0	70900533.0
GFP-3_R1_001	36714591.0	39357478.0
GFP-3_R2_001	32604972.0	43467097.0
YAF-1_R1_001	25626463.0	64955849.0
YAF-1_R2_001	14482894.0	76099418.0
YAF-2_R1_001	73904123.0	59028298.0
YAF-2_R2_001	69545024.0	63387397.0
YAF-3_R1_001	49481443.0	44786643.0
YAF-3_R2_001	43313353.0	50954733.0
