Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34
BG1_R1_001	(15.0, 25.0)	(16.0, 394.0)	(17.0, 9763.0)	(18.0, 157652.0)	(19.0, 753828.0)	(20.0, 1234900.0)	(21.0, 760051.0)	(22.0, 419744.0)	(23.0, 369094.0)	(24.0, 415865.0)	(25.0, 463141.0)	(26.0, 551336.0)	(27.0, 636148.0)	(28.0, 789231.0)	(29.0, 957926.0)	(30.0, 1269876.0)	(31.0, 1849377.0)	(32.0, 4226984.0)	(33.0, 7240868.0)	(34.0, 11657666.0)	(35.0, 13252029.0)	(36.0, 12022372.0)	(37.0, 15319828.0)	(38.0, 23642228.0)	(39.0, 143023986.0)	(40.0, 126764670.0)									
BG1_R2_001	(12.0, 8.0)	(13.0, 151.0)	(14.0, 3100.0)	(15.0, 27968.0)	(16.0, 106052.0)	(17.0, 250313.0)	(18.0, 604907.0)	(19.0, 1097584.0)	(20.0, 1245069.0)	(21.0, 807936.0)	(22.0, 570743.0)	(23.0, 519656.0)	(24.0, 554589.0)	(25.0, 573469.0)	(26.0, 630559.0)	(27.0, 668376.0)	(28.0, 754584.0)	(29.0, 817814.0)	(30.0, 948820.0)	(31.0, 1061769.0)	(32.0, 1278691.0)	(33.0, 1516281.0)	(34.0, 1998627.0)	(35.0, 2684678.0)	(36.0, 4057764.0)	(37.0, 6276549.0)	(38.0, 15097475.0)	(39.0, 163175630.0)	(40.0, 160459820.0)						
BG2_R1_001	(15.0, 33.0)	(16.0, 567.0)	(17.0, 16856.0)	(18.0, 256844.0)	(19.0, 1203200.0)	(20.0, 2028422.0)	(21.0, 1298897.0)	(22.0, 651053.0)	(23.0, 518370.0)	(24.0, 573243.0)	(25.0, 636199.0)	(26.0, 766858.0)	(27.0, 896586.0)	(28.0, 1144151.0)	(29.0, 1426397.0)	(30.0, 1949009.0)	(31.0, 2889703.0)	(32.0, 6758804.0)	(33.0, 12350126.0)	(34.0, 21260400.0)	(35.0, 28681224.0)	(36.0, 24950208.0)	(37.0, 23246069.0)	(38.0, 31969335.0)	(39.0, 152435555.0)	(40.0, 163860093.0)									
BG2_R2_001	(12.0, 8.0)	(13.0, 154.0)	(14.0, 3891.0)	(15.0, 37857.0)	(16.0, 156551.0)	(17.0, 397914.0)	(18.0, 1024296.0)	(19.0, 1887917.0)	(20.0, 2094002.0)	(21.0, 1302181.0)	(22.0, 880544.0)	(23.0, 778223.0)	(24.0, 821733.0)	(25.0, 851996.0)	(26.0, 940222.0)	(27.0, 1001980.0)	(28.0, 1133860.0)	(29.0, 1232193.0)	(30.0, 1424902.0)	(31.0, 1591718.0)	(32.0, 1914423.0)	(33.0, 2260465.0)	(34.0, 2955811.0)	(35.0, 3917207.0)	(36.0, 5808895.0)	(37.0, 8906848.0)	(38.0, 21941843.0)	(39.0, 238746199.0)	(40.0, 177754369.0)						
BG3_R1_001	(15.0, 24.0)	(16.0, 339.0)	(17.0, 7261.0)	(18.0, 96586.0)	(19.0, 434656.0)	(20.0, 775048.0)	(21.0, 652714.0)	(22.0, 505479.0)	(23.0, 476311.0)	(24.0, 548843.0)	(25.0, 617704.0)	(26.0, 736645.0)	(27.0, 834227.0)	(28.0, 1021625.0)	(29.0, 1222547.0)	(30.0, 1589743.0)	(31.0, 2101242.0)	(32.0, 3797277.0)	(33.0, 7669708.0)	(34.0, 14462255.0)	(35.0, 20441376.0)	(36.0, 18941352.0)	(37.0, 16354716.0)	(38.0, 20777172.0)	(39.0, 93605754.0)	(40.0, 67554860.0)									
BG3_R2_001	(12.0, 3.0)	(13.0, 110.0)	(14.0, 1960.0)	(15.0, 17113.0)	(16.0, 73081.0)	(17.0, 186909.0)	(18.0, 433143.0)	(19.0, 739320.0)	(20.0, 859016.0)	(21.0, 670289.0)	(22.0, 569831.0)	(23.0, 553827.0)	(24.0, 620443.0)	(25.0, 669745.0)	(26.0, 756582.0)	(27.0, 802704.0)	(28.0, 897344.0)	(29.0, 961088.0)	(30.0, 1086135.0)	(31.0, 1180700.0)	(32.0, 1385925.0)	(33.0, 1600563.0)	(34.0, 2039154.0)	(35.0, 2638607.0)	(36.0, 3878220.0)	(37.0, 6063854.0)	(38.0, 15197854.0)	(39.0, 146747096.0)	(40.0, 84594848.0)						
BM1_R1_001	(16.0, 1.0)	(17.0, 13.0)	(18.0, 126.0)	(19.0, 561.0)	(20.0, 1112.0)	(21.0, 1070.0)	(22.0, 980.0)	(23.0, 963.0)	(24.0, 1013.0)	(25.0, 1256.0)	(26.0, 1502.0)	(27.0, 1802.0)	(28.0, 2110.0)	(29.0, 2544.0)	(30.0, 3478.0)	(31.0, 4435.0)	(32.0, 6730.0)	(33.0, 10211.0)	(34.0, 16563.0)	(35.0, 22486.0)	(36.0, 26842.0)	(37.0, 34600.0)	(38.0, 67819.0)	(39.0, 311414.0)	(40.0, 108120.0)										
BM1_R2_001	(13.0, 2.0)	(14.0, 30.0)	(15.0, 192.0)	(16.0, 618.0)	(17.0, 1387.0)	(18.0, 2179.0)	(19.0, 2766.0)	(20.0, 3237.0)	(21.0, 2959.0)	(22.0, 2795.0)	(23.0, 2885.0)	(24.0, 3052.0)	(25.0, 3109.0)	(26.0, 3463.0)	(27.0, 3548.0)	(28.0, 3947.0)	(29.0, 4301.0)	(30.0, 4685.0)	(31.0, 5364.0)	(32.0, 6434.0)	(33.0, 7539.0)	(34.0, 9568.0)	(35.0, 12540.0)	(36.0, 17619.0)	(37.0, 27042.0)	(38.0, 65713.0)	(39.0, 321088.0)	(40.0, 109689.0)							
BM2_R1_001	(16.0, 3.0)	(17.0, 30.0)	(18.0, 137.0)	(19.0, 389.0)	(20.0, 842.0)	(21.0, 857.0)	(22.0, 1067.0)	(23.0, 1111.0)	(24.0, 1317.0)	(25.0, 1479.0)	(26.0, 1714.0)	(27.0, 1948.0)	(28.0, 2284.0)	(29.0, 2806.0)	(30.0, 3696.0)	(31.0, 4893.0)	(32.0, 7370.0)	(33.0, 10027.0)	(34.0, 12858.0)	(35.0, 15242.0)	(36.0, 21457.0)	(37.0, 32628.0)	(38.0, 75390.0)	(39.0, 275694.0)	(40.0, 61189.0)										
BM2_R2_001	(13.0, 3.0)	(14.0, 69.0)	(15.0, 408.0)	(16.0, 1295.0)	(17.0, 2480.0)	(18.0, 3621.0)	(19.0, 4145.0)	(20.0, 4443.0)	(21.0, 4420.0)	(22.0, 4631.0)	(23.0, 4369.0)	(24.0, 4753.0)	(25.0, 4940.0)	(26.0, 5331.0)	(27.0, 5590.0)	(28.0, 6167.0)	(29.0, 6423.0)	(30.0, 7278.0)	(31.0, 8217.0)	(32.0, 9685.0)	(33.0, 11004.0)	(34.0, 13715.0)	(35.0, 16826.0)	(36.0, 23002.0)	(37.0, 32593.0)	(38.0, 71260.0)	(39.0, 229797.0)	(40.0, 49963.0)							
BM3_R1_001	(16.0, 17.0)	(17.0, 303.0)	(18.0, 4076.0)	(19.0, 18788.0)	(20.0, 34906.0)	(21.0, 34887.0)	(22.0, 33958.0)	(23.0, 36525.0)	(24.0, 44261.0)	(25.0, 51808.0)	(26.0, 63483.0)	(27.0, 75712.0)	(28.0, 98505.0)	(29.0, 126578.0)	(30.0, 176594.0)	(31.0, 267089.0)	(32.0, 657621.0)	(33.0, 1320981.0)	(34.0, 2287331.0)	(35.0, 2503234.0)	(36.0, 1722810.0)	(37.0, 1401896.0)	(38.0, 1795496.0)	(39.0, 9024255.0)	(40.0, 6635624.0)										
BM3_R2_001	(13.0, 18.0)	(14.0, 313.0)	(15.0, 2262.0)	(16.0, 9037.0)	(17.0, 20657.0)	(18.0, 37480.0)	(19.0, 55179.0)	(20.0, 65002.0)	(21.0, 59222.0)	(22.0, 57307.0)	(23.0, 57167.0)	(24.0, 62441.0)	(25.0, 65473.0)	(26.0, 72380.0)	(27.0, 76421.0)	(28.0, 86693.0)	(29.0, 93383.0)	(30.0, 108003.0)	(31.0, 120397.0)	(32.0, 144429.0)	(33.0, 169617.0)	(34.0, 218929.0)	(35.0, 284063.0)	(36.0, 415630.0)	(37.0, 653023.0)	(38.0, 1660723.0)	(39.0, 15708436.0)	(40.0, 8113053.0)							
GFP-1_R1_001	(16.0, 5.0)	(17.0, 382.0)	(18.0, 5835.0)	(19.0, 30227.0)	(20.0, 72253.0)	(21.0, 103490.0)	(22.0, 127655.0)	(23.0, 146437.0)	(24.0, 176561.0)	(25.0, 205083.0)	(26.0, 253455.0)	(27.0, 302225.0)	(28.0, 392994.0)	(29.0, 505903.0)	(30.0, 732499.0)	(31.0, 1171548.0)	(32.0, 2709358.0)	(33.0, 5290297.0)	(34.0, 5771195.0)	(35.0, 4234762.0)	(36.0, 3645377.0)	(37.0, 4747937.0)	(38.0, 10101234.0)	(39.0, 39475016.0)	(40.0, 5684664.0)										
GFP-1_R2_001	(6.0, 5.0)	(7.0, 466.0)	(8.0, 1775.0)	(9.0, 2130.0)	(10.0, 2226.0)	(11.0, 2545.0)	(12.0, 3873.0)	(13.0, 4528.0)	(14.0, 4489.0)	(15.0, 6099.0)	(16.0, 16293.0)	(17.0, 17973.0)	(18.0, 42505.0)	(19.0, 69953.0)	(20.0, 93814.0)	(21.0, 97311.0)	(22.0, 100535.0)	(23.0, 105911.0)	(24.0, 123204.0)	(25.0, 135537.0)	(26.0, 157461.0)	(27.0, 173870.0)	(28.0, 204015.0)	(29.0, 230655.0)	(30.0, 273091.0)	(31.0, 307042.0)	(32.0, 385867.0)	(33.0, 478237.0)	(34.0, 664809.0)	(35.0, 957072.0)	(36.0, 1650242.0)	(37.0, 3104986.0)	(38.0, 9369091.0)	(39.0, 55342936.0)	(40.0, 11755846.0)
GFP-2_R1_001	(16.0, 4.0)	(17.0, 199.0)	(18.0, 4006.0)	(19.0, 21506.0)	(20.0, 53606.0)	(21.0, 81271.0)	(22.0, 106290.0)	(23.0, 124970.0)	(24.0, 153748.0)	(25.0, 178822.0)	(26.0, 220706.0)	(27.0, 262302.0)	(28.0, 338869.0)	(29.0, 435410.0)	(30.0, 636101.0)	(31.0, 1106893.0)	(32.0, 2528631.0)	(33.0, 3701185.0)	(34.0, 3213450.0)	(35.0, 2529415.0)	(36.0, 2937049.0)	(37.0, 4596117.0)	(38.0, 10901931.0)	(39.0, 48806684.0)	(40.0, 7929018.0)										
GFP-2_R2_001	(6.0, 8.0)	(7.0, 513.0)	(8.0, 1844.0)	(9.0, 1958.0)	(10.0, 2045.0)	(11.0, 2369.0)	(12.0, 4052.0)	(13.0, 4404.0)	(14.0, 3828.0)	(15.0, 5232.0)	(16.0, 15680.0)	(17.0, 11957.0)	(18.0, 27008.0)	(19.0, 44976.0)	(20.0, 61003.0)	(21.0, 66136.0)	(22.0, 71751.0)	(23.0, 79788.0)	(24.0, 95720.0)	(25.0, 107710.0)	(26.0, 125979.0)	(27.0, 139125.0)	(28.0, 163962.0)	(29.0, 186086.0)	(30.0, 221328.0)	(31.0, 244425.0)	(32.0, 307853.0)	(33.0, 384440.0)	(34.0, 536113.0)	(35.0, 781029.0)	(36.0, 1373388.0)	(37.0, 2649349.0)	(38.0, 7977261.0)	(39.0, 57275187.0)	(40.0, 17894676.0)
GFP-3_R1_001	(16.0, 5.0)	(17.0, 251.0)	(18.0, 4169.0)	(19.0, 22735.0)	(20.0, 55914.0)	(21.0, 78423.0)	(22.0, 97236.0)	(23.0, 112569.0)	(24.0, 137264.0)	(25.0, 163499.0)	(26.0, 206121.0)	(27.0, 250255.0)	(28.0, 336732.0)	(29.0, 452462.0)	(30.0, 688388.0)	(31.0, 1220156.0)	(32.0, 3151647.0)	(33.0, 6133597.0)	(34.0, 6360218.0)	(35.0, 4048926.0)	(36.0, 2930871.0)	(37.0, 3537843.0)	(38.0, 6762403.0)	(39.0, 32418366.0)	(40.0, 6902019.0)										
GFP-3_R2_001	(6.0, 2.0)	(7.0, 463.0)	(8.0, 1743.0)	(9.0, 1974.0)	(10.0, 2129.0)	(11.0, 2378.0)	(12.0, 3634.0)	(13.0, 4279.0)	(14.0, 4344.0)	(15.0, 5832.0)	(16.0, 14829.0)	(17.0, 16815.0)	(18.0, 41734.0)	(19.0, 72981.0)	(20.0, 101184.0)	(21.0, 105769.0)	(22.0, 106890.0)	(23.0, 110900.0)	(24.0, 127238.0)	(25.0, 139208.0)	(26.0, 160046.0)	(27.0, 176860.0)	(28.0, 205779.0)	(29.0, 233820.0)	(30.0, 276121.0)	(31.0, 311997.0)	(32.0, 390792.0)	(33.0, 482242.0)	(34.0, 662212.0)	(35.0, 939619.0)	(36.0, 1584520.0)	(37.0, 2898950.0)	(38.0, 8863358.0)	(39.0, 48727267.0)	(40.0, 9294160.0)
YAF-1_R1_001	(16.0, 4.0)	(17.0, 282.0)	(18.0, 5723.0)	(19.0, 30437.0)	(20.0, 70638.0)	(21.0, 96934.0)	(22.0, 118356.0)	(23.0, 136140.0)	(24.0, 164887.0)	(25.0, 191045.0)	(26.0, 236249.0)	(27.0, 280281.0)	(28.0, 362601.0)	(29.0, 469075.0)	(30.0, 689424.0)	(31.0, 1140621.0)	(32.0, 2778561.0)	(33.0, 5351706.0)	(34.0, 5472505.0)	(35.0, 3989688.0)	(36.0, 3795387.0)	(37.0, 4944200.0)	(38.0, 9861108.0)	(39.0, 42397578.0)	(40.0, 7998882.0)										
