.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
BG1_R1_001	1	1	0.5	1	0.25	0.5	1	1	0.25	1	0.25
BG1_R2_001	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	0.25
BG2_R1_001	1	1	0.5	1	0.25	0.5	1	1	0.25	1	0.25
BG2_R2_001	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	0.25
BG3_R1_001	1	1	0.5	1	0.25	0.5	1	1	0.25	0.5	0.25
BG3_R2_001	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	0.25
BM1_R1_001	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	0.25
BM1_R2_001	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	0.25
BM2_R1_001	1	1	0.25	1	0.25	1	1	1	0.25	1	0.5
BM2_R2_001	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	0.25
BM3_R1_001	1	1	0.5	1	0.25	0.5	1	1	0.25	1	0.25
BM3_R2_001	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	0.25
GFP-1_R1_001	1	1	0.25	1	0.25	0.5	1	1	0.25	1	0.25
GFP-1_R2_001	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	0.25
GFP-2_R1_001	1	1	0.25	1	0.25	1	1	1	0.25	1	0.25
GFP-2_R2_001	1	1	0.25	1	0.25	1	1	1	0.25	1	0.25
GFP-3_R1_001	1	1	0.25	1	0.25	0.5	1	1	0.25	1	0.25
GFP-3_R2_001	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	0.25
YAF-1_R1_001	1	1	0.25	1	0.25	1	1	1	0.25	1	0.25
YAF-1_R2_001	1	1	0.25	1	0.25	1	1	1	0.25	1	0.25
YAF-2_R1_001	1	0.5	0.25	1	0.25	0.25	1	1	0.5	1	0.25
YAF-2_R2_001	1	1	0.25	1	0.25	0.25	1	1	0.5	1	0.25
YAF-3_R1_001	1	1	0.25	1	0.25	0.5	1	1	0.5	1	0.25
YAF-3_R2_001	1	1	0.25	1	0.25	0.5	1	1	0.25	1	0.25
